Date,Open,High,Low,Close,Adj Close,Volume
09/25/2017,186.460007,186.550003,177.699997,178.550003,178.550003,9367200
09/26/2017,180.699997,180.949997,176.550003,179.380005,179.380005,5602500
09/27/2017,181.009995,183.339996,180.699997,181.970001,181.970001,5710500
09/28/2017,181.25,181.949997,179.360001,180.699997,180.699997,4077000
09/29/2017,180.729996,182.899994,180.649994,181.350006,181.350006,4227900
10/02/2017,182.110001,182.800003,176.580002,177.009995,177.009995,7342000
10/03/2017,177.649994,179.699997,177.550003,179.190002,179.190002,3956900
10/04/2017,181.410004,186.699997,181.25,184.449997,184.449997,9235900
10/05/2017,185.649994,194.490005,184.490005,194.389999,194.389999,19412700
10/06/2017,194.300003,198.919998,192.050003,198.020004,198.020004,15348400
10/09/2017,199.100006,199.399994,196.559998,196.869995,196.869995,6971700
10/10/2017,197.850006,198.300003,192.100006,195.080002,195.080002,6233800
10/11/2017,195.570007,196.220001,193.809998,194.949997,194.949997,6450200
10/12/2017,196.75,198.619995,194.710007,195.860001,195.860001,7753300
10/13/2017,199.699997,200.820007,197.190002,199.490005,199.490005,12081300
10/16/2017,201.949997,202.830002,197.860001,202.679993,202.679993,22105400
10/17/2017,200.110001,204.380005,197.770004,199.479996,199.479996,23900100
10/18/2017,199.990005,200.009995,194.25,195.539993,195.539993,11198900
10/19/2017,193.009995,195.25,191.160004,195.130005,195.130005,7034600
10/20/2017,195.899994,196.380005,193.770004,194.160004,194.160004,5995600
10/23/2017,194.169998,194.899994,191.029999,192.470001,192.470001,6980000
10/24/2017,192.75,196.740005,191.399994,196.020004,196.020004,7069100
10/25/2017,195.380005,197.059998,193.009995,193.770004,193.770004,5315300
10/26/2017,194.660004,197.610001,194.080002,195.210007,195.210007,5185800
10/27/2017,197.199997,200.649994,196.220001,199.539993,199.539993,8128600
10/30/2017,199.619995,201.100006,197.070007,198.369995,198.369995,5439600
10/31/2017,198.210007,198.589996,195.220001,196.429993,196.429993,5518600
11/01/2017,197.240005,199.199997,196,198,198,5017400
11/02/2017,197.449997,199.440002,197.089996,199.320007,199.320007,3606300
11/03/2017,199.800003,200.550003,197.990005,200.009995,200.009995,3678800
11/06/2017,200,202.479996,198.089996,200.130005,200.130005,5846600
11/07/2017,200,200.610001,194.800003,195.889999,195.889999,6468000
11/08/2017,196,197.089996,194.740005,196.440002,196.440002,4237400
11/09/2017,194.460007,194.490005,190.809998,193.899994,193.899994,5979900
11/10/2017,191.610001,192.589996,189.5,192.020004,192.020004,6622200
11/13/2017,191.119995,196.050003,191,195.080002,195.080002,4607000
11/14/2017,193.639999,195.880005,193,195.710007,195.710007,3450500
11/15/2017,194.539993,195.419998,191.529999,192.119995,192.119995,4203100
11/16/2017,194.330002,197.699997,193.75,195.509995,195.509995,5678400
11/17/2017,195.740005,195.949997,192.649994,193.199997,193.199997,3906300
11/20/2017,193.300003,194.320007,191.899994,194.100006,194.100006,3827500
11/21/2017,195.039993,197.520004,194.970001,196.229996,196.229996,4787300
11/22/2017,196.580002,196.75,193.630005,196.320007,196.320007,5895400
11/24/2017,196.649994,196.899994,195.330002,195.75,195.75,2160500
11/27/2017,195.559998,195.850006,194,195.050003,195.050003,3210100
11/28/2017,195.339996,199.679993,194.009995,199.179993,199.179993,6981100
11/29/2017,198.910004,199.029999,184.320007,188.149994,188.149994,14202700
11/30/2017,190.309998,190.860001,186.679993,187.580002,187.580002,6630100
12/01/2017,186.990005,189.800003,185,186.820007,186.820007,6219500
12/04/2017,189.360001,189.720001,178.380005,184.039993,184.039993,9069800
12/05/2017,183.5,188.139999,181.190002,184.210007,184.210007,5783700
12/06/2017,183.380005,186.479996,182.880005,185.300003,185.300003,5490100
12/07/2017,185.710007,187.339996,183.220001,185.199997,185.199997,4659500
12/08/2017,186.5,189.419998,186.300003,188.539993,188.539993,4987300
12/11/2017,187.850006,189.419998,185.910004,186.220001,186.220001,5298600
12/12/2017,186.009995,187.850006,184.820007,185.729996,185.729996,4265900
12/13/2017,186.100006,188.690002,185.410004,187.860001,187.860001,4710000
12/14/2017,187.979996,192.639999,187.199997,189.559998,189.559998,7792800
12/15/2017,189.610001,191.429993,188.009995,190.119995,190.119995,7285600
12/18/2017,191.199997,191.649994,188.899994,190.419998,190.419998,5011000
12/19/2017,190.179993,190.300003,185.75,187.020004,187.020004,7033000
12/20/2017,187.940002,189.110001,185.259995,188.820007,188.820007,6545400
12/21/2017,189.440002,190.949997,187.580002,188.619995,188.619995,4729800
12/22/2017,188.330002,190.949997,186.800003,189.940002,189.940002,3878900
12/26/2017,189.779999,189.940002,186.399994,187.759995,187.759995,3045700
12/27/2017,187.800003,188.100006,185.220001,186.240005,186.240005,4002100
12/28/2017,187.179993,194.490005,186.850006,192.710007,192.710007,10107400
12/29/2017,192.509995,193.949997,191.220001,191.960007,191.960007,5187600
01/02/2018,196.100006,201.649994,195.419998,201.070007,201.070007,10966900
01/03/2018,202.050003,206.210007,201.5,205.050003,205.050003,8591400
01/04/2018,206.199997,207.050003,204,205.630005,205.630005,6029600
01/05/2018,207.25,210.020004,205.589996,209.990005,209.990005,7033200
01/08/2018,210.020004,212.5,208.440002,212.050003,212.050003,5580200
01/09/2018,212.110001,212.979996,208.589996,209.309998,209.309998,6125900
01/10/2018,207.570007,213.639999,206.910004,212.520004,212.520004,5951500
01/11/2018,214.289993,217.75,213.350006,217.240005,217.240005,7659500
01/12/2018,217.179993,222.550003,216,221.229996,221.229996,8199400
01/16/2018,224.240005,226.070007,217.199997,221.529999,221.529999,13516100
01/17/2018,221,221.149994,216.320007,217.5,217.5,9037400
01/18/2018,220.339996,220.580002,216.550003,220.330002,220.330002,8225300
01/19/2018,222.75,223.490005,218.5,220.460007,220.460007,10548600
01/22/2018,222,227.789993,221.199997,227.580002,227.580002,17703300
01/23/2018,255.050003,257.709991,248.020004,250.289993,250.289993,27705300
01/24/2018,250.880005,261.709991,249.309998,261.299988,261.299988,17352400
01/25/2018,263,272.299988,260.230011,269.700012,269.700012,15336400
01/26/2018,271.48999,274.600006,268.76001,274.600006,274.600006,11021800
01/29/2018,274.200012,286.809998,273.920013,284.589996,284.589996,17529700
01/30/2018,277,282.730011,272.700012,278.799988,278.799988,12482900
01/31/2018,281.940002,282.290009,269.579987,270.299988,270.299988,11695100
02/01/2018,266.410004,271.950012,263.380005,265.070007,265.070007,9669000
02/02/2018,263,270.619995,262.709991,267.429993,267.429993,9123600
02/05/2018,262,267.899994,250.029999,254.259995,254.259995,11896100
02/06/2018,247.699997,266.700012,245,265.720001,265.720001,12595800
02/07/2018,266.579987,272.450012,264.329987,264.559998,264.559998,8981500
02/08/2018,267.079987,267.619995,250,250.100006,250.100006,9306700
02/09/2018,253.850006,255.800003,236.110001,249.470001,249.470001,16906900
02/12/2018,252.139999,259.149994,249,257.950012,257.950012,8534900
02/13/2018,257.290009,261.410004,254.699997,258.269989,258.269989,6855200
02/14/2018,260.470001,269.880005,260.329987,266,266,10972000
02/15/2018,270.029999,280.5,267.630005,280.269989,280.269989,10759700
02/16/2018,278.730011,281.959991,275.690002,278.519989,278.519989,8312400
02/20/2018,277.73999,285.809998,276.609985,278.549988,278.549988,7769000
02/21/2018,282.070007,286.640015,280.01001,281.040009,281.040009,9371100
02/22/2018,283.880005,284.5,274.450012,278.140015,278.140015,8891500
02/23/2018,281,286,277.809998,285.929993,285.929993,7301800
02/26/2018,288.75,295.649994,287.01001,294.160004,294.160004,10268600
02/27/2018,294.769989,297.359985,290.589996,290.609985,290.609985,9416500
02/28/2018,293.100006,295.75,290.779999,291.380005,291.380005,7653500
03/01/2018,292.75,295.25,283.829987,290.390015,290.390015,11932100
03/02/2018,284.649994,301.179993,283.230011,301.049988,301.049988,13345300
03/05/2018,302.850006,316.910004,297.600006,315,315,18986100
03/06/2018,319.880005,325.790009,316.5,325.220001,325.220001,18525800
03/07/2018,320,323.73999,314.549988,321.160004,321.160004,17132200
03/08/2018,322.200012,322.920013,314.130005,317,317,11340100
03/09/2018,321.329987,331.440002,320.230011,331.440002,331.440002,14500200
03/12/2018,333.559998,333.980011,318.600006,321.299988,321.299988,20369200
03/13/2018,323.869995,325.839996,313.279999,315.880005,315.880005,12917200
03/14/2018,318.160004,323.880005,317.700012,321.549988,321.549988,10475100
03/15/2018,323.170013,323.399994,318.140015,321.089996,321.089996,5642900
03/16/2018,321.420013,324.109985,318.369995,318.450012,318.450012,7333700
03/19/2018,315.799988,317,307.339996,313.480011,313.480011,9925200
03/20/2018,313.26001,319.5,312.799988,317.5,317.5,5991900
03/21/2018,316.350006,319.399994,314.51001,316.480011,316.480011,5263900
03/22/2018,313.070007,314.119995,305.660004,306.700012,306.700012,8063300
